title,abstract
Collaborative Research: Building Empirically Informed Models of Scientific Search and Progress,"scientific progress is vital for advancing technology, fostering social development, and tackling global issues. research indicates that innovative activity in science is slowing. the causes behind this decline are unknown. addressing this issue is hindered by our limited ability to empirically test how individual scientists make breakthrough discoveries. the researchers draw on the interdisciplinary expertise of a team with deep knowledge in sociology, agent-based modeling, and philosophy of science. by combining both theoretical and empirical studies, this award helps science to further understand the causes of, and solutions to, our declining rate of innovation. by providing a deeper understanding of the factors that drive or hinder innovation, the award informs policies aimed at fostering a more conducive environment for scientific breakthroughs. the supported research uses a novel mixed-method approach, where empirically informed agent-based simulation models are combined with empirical analysis of the scientific record. this allows for a comparison of both internal factors---those related to the structure and dynamics of scientific content---and external factors that operate outside and influence the body of scientific knowledge. internal factors involve the proliferation of scientific knowledge, while external factors encompass funding incentives, pressure to publish, and the challenges of remote collaboration. to increase innovation, it is essential to implement actionable policies that mitigate these factors and guide scientists in their contributions to scientific knowledge."
Collaborative Research: Understanding the Incidence of Market Distortions,"this award funds a research project that combines extremely rich and detailed data with economic theory to study how the burden of market failures is shared in the economy. market failures prevent resources, such as labor and capital, from being used in the places where they are most valuable. while it is known that market failures are a feature of all economies and contribute to income differences across countries, the question of which types of households are affected most by these market failures is much less researched. this project makes progress on this gap by developing tools to connect and analyze multiple datasets that provide an extensive set of links in the economy between households and firms, between both households and firms and the government, and between the firms themselves. understanding which groups benefit and which groups lose out from policies that address such market failures is vital to the design of approaches that maximize the welfare of any nation. the research outcomes could be essential for researchers and decisionmakers in shaping optimal u.s. policies and potentially enhancing the wellbeing of households and businesses. this award funds a research project that develops tools to estimate distortions?markups, markdowns, and taxes that prevents resources being allocated to their best uses?at a highly disaggregated level and trace them to individuals through arbitrary trade, employment, and financial networks. this methodology is applied to administrative data, where the research team can map out the flow of goods and money for the entire economy by linking firm-to-firm networks with firm-to-consumer, firm-to-lender, and firm-to-employee networks alongside ownership registries. these methods reveal how the burden of distortions is shared among households belonging to different regions, demographic groups, skill groups, and income levels. in addition, they enable answers to various questions, such as which distortions do the most to compress and expand the distribution of living standards; what trade-offs are observed in approaches designed to improve the impacts of distortions; and to what degree overlapping distortions necessitate our wide-ranging analysis as opposed to focusing on one specific distortion or sector at a time. the theory and methods are developed in a way that they can be applied to any country with similar data. this project advances knowledge in several ways. first, it operationalizes recent theoretical work on general equilibrium models of heterogeneous agents in distorted economic environments. second, by assembling a complete empirical mapping of economic relationships between agents in an economy, it measures the distributional impact of the main distortions that are present in an economy (those on labor, capital, output, and intermediate inputs) throughout all sectors. this is relevant because studying the impact of reducing distortions in one specific market is influenced by distortions in other markets. thus, to fully assess the trade-offs of reducing distortions, one needs to go beyond specific distortions and specific sectors. the results have the potential to significantly reshape how economists perceive the implications of market distortions and the policies responding to them. by addressing who bears the costs and who benefits from market distortions, a key theme for decisionmakers, the findings of this research could lead to optimal policies related to market failures and enhance the welfare of the u.s. population."
"Collaborative Research: Belief Systems Governing Climate Adaptation Behaviors: Inference, Analysis, and Intervention","this project explores how scientific messages about environmental adaptation shape people?s decisions, especially when their beliefs about the environment, politics, and other issues are closely connected. by examining why some individuals embrace adaptation measures?such as flood-proofing homes or relocating from high-risk areas?while others do not, the project seeks to clarify how these choices can unintentionally deepen social and economic inequalities. in doing so, the project addresses the national interest by improving public understanding of climate risks, fostering more informed decision-making, and promoting inclusive, effective adaptation strategies. the project also advances broader societal goals by training undergraduate researchers, partnering with nonprofit organizations to develop practical outreach methods, and creating software tools that can be used to study belief systems in various contexts. this project develops a new conceptual framework, new methodological tools, and survey-based measurement approach for ?belief networks,? capturing how an individual?s attitudes about topics such as climate, people migration, and social fairness simultaneously influence one another. large-scale surveys in the united states and a case study in virginia will map how these networks vary across partisan, demographic, and socioeconomic groups. the researchers will then design and implement scientific communication experiments to examine how information targeting specific attitudes?and the links among them?affects people?s adaptive capacity and motivation. alongside these empirical studies, the project supports new network science methods to analyze individual-level belief systems at scale, providing computational and statistical tools for extracting, modeling, and comparing complex attitude linkages. by integrating these methodological advances with science communication research, the project offers insights into how scientific information can most effectively encourage robust, evidence-based adaptation decisions."
Collaborative Research: Understanding the Drivers of Exchange Rates through International Asset Prices and Capital Flows,"this award funds a research project examining the factors influencing exchange rates, with a focus on international asset prices and capital flows. understanding the drivers of exchange rates is a central objective of international macroeconomics and finance. exchange rates are key prices affecting the relative cost of imports and exports, as well as the returns to investing in assets abroad. yet exchange rates have long puzzled economists: they are inconsistent with benchmark models in economics and are very difficult to predict. this project makes progress on these puzzles by exploring the relationship between exchange rates and other international asset prices, such as bonds and stocks in different countries, as well as macroeconomic quantities, such as capital flows across borders. this research helps market participants use exchange rates to better understand macroeconomic conditions in the global economy. it also helps decision-makers better understand how monetary and fiscal policies affect exchange rates and thus the broader economy. the research findings could inspire innovative international policy frameworks, improve the well-being of households, businesses, and investors, and reinforce global market activity. this award project explores exchange rates through the lens of general equilibrium models with international capital market frictions. these capital market frictions are reflected in a central role for global arbitrageurs to intermediate capital flows across borders. such models thus allow the researchers to accommodate classic forces that have been thought to drive exchange rates, such as the supply or demand for goods, as well as drivers that have been proposed in more recent research, such as changes in the intermediation capacity of global arbitrageurs. the project includes research to decompose the drivers of the dollar exchange rate versus other advanced economies through the lens of such a model. the co-movements of exchange rates with bond yields, spreads in financial markets, and capital flows suggest a nuanced variance decomposition of exchange rates: at high frequencies, shocks to intermediation capacity play an important role in driving exchange rates, but at low frequencies and overall, demand shocks play the most important role. the project includes further research to understand the sources of demand shocks driving variation in these prices and capital flows. the researchers study the co-movements of exchange rates, bonds, and stocks to differentiate between potential sources of demand shocks. the project also includes research to understand how heterogeneous exposures to demand or intermediation shocks can explain differences in exchange rate behavior across countries. the researchers study how patterns in trade linkages and in net foreign assets give rise to heterogeneous effects of these shocks. the project finally includes research on the propagation of macroeconomic policies through exchange rates. the researchers study whether state-dependence in the effects of foreign exchange rate intervention can account for mixed evidence on its effectiveness in the data. this research could help researchers and decision-makers gain deeper insights into exchange rates and their relationship with international asset prices, capital flows, and other macroeconomic factors, ultimately improving the well-being of the u.s. population and strengthening the country's leadership in international markets."
Collaborative Research: Democratic Accountability and Judicial Legitimacy,"this project tracks citizens? attitudes toward a judicial reform effort and the judiciary as these reforms are implemented, as citizens elect their judges, and as the directly elected judges are seated. the reforms call for the direct election of more than 7,000 of the most important judicial positions in the country. because judicial independence is associated with salutary governmental and economic outcomes, and public support for judicial institutions is a key determinant of judicial independence and influence, this project has implications for understanding how the direct election of judges might bolster or undermine institutional separation of powers, economic development, and broader international relations. most of the accumulated knowledge about the public's support for the judiciary has relied upon surveys asking citizens for their evaluations of hypothetical proposals to reform the country's high court. the reforms that prompt this study provide an opportunity to test theories about the correlates and consequences of public support for courts in an environment where the stakes are real and cross-national comparisons are feasible. tracking public opinion over a four-wave panel survey and analyzing unique survey experiments, this research will address three debates. first, each wave of the survey will reach respondents at a point in the reform implementation that enables researchers to disentangle longstanding theories regarding the determinants of public support for judicial institutions. second, relying on within-respondent, cross-wave comparisons, the pis will evaluate the extent to which the electoral connection affects citizens? legal attitudes about courts and judicial authorities, and their willingness to engage them as a result. third, the pis will assess how the reform---and citizens' responses to it---affect their willingness to obey decisions they do not agree with and to tolerate noncompliance with constitutional authorities' decisions. these outcomes have direct relations to the country's ability to attract international investment and to ensure that the separation of powers balances power across the executive, legislative, and judicial branches of government."
"Collaborative Research: HNDS-R: Altruistic stress, economic networks, and endogenous organizational change","organizations shape and depend on cooperation among members, but the volatility of cooperation can cause organizations to fail. co-operative organizations are especially dependent on cooperation, but also generate unique social benefits. understanding how co-operatives persist on volatile patterns of cooperation can clarify the general role of cooperation in organizational change and survival. this project examines how cooperation dynamics can drive organizational outcomes through a collaboration with a network of consumer co-operatives. the project will benefit participating co-operatives with data-driven organizational health reports, and benefit society at large with a cooperation management toolkit for any type of organization. this research can have profound impacts on the ability of organizations to grow and maintain cooperation and may contribute to strategies for growing cooperation to address pressing societal challenges. the project seeks to improve our understanding of organizational evolution by testing a novel dynamical theory of organizational change based on altruistic stress - the psychological stress of unreciprocated cooperative effort to advance group goals. the research team develops a model of a generic organization, which specifies the relationship between tasks, cooperation, altruistic stress, institutions and organizational outcomes. this model is tested with a rich multilevel organizational dataset. building on a collaboration with a network of consumer co-operatives, the research team combines surveys, behavioral cooperation measures, organizational history data, and complete multi-year economic interaction networks across a large sample of co-operatives in the network. to assess the effect of altruistic stress on organizational change, the research team employs multilevel bayesian analysis. in addition, network methods are used to describe the structural features of cooperation networks associated with organizational tipping points. results will improve our understanding of the mechanisms that drive organizational cooperation, survival, and evolution."
"Collaborative Research: RAPID: Understanding risk communication, protective decision-making, and vulnerability in mountain and inland Southeast communities during Hurricane Helene","as the deadliest u.s. mainland hurricane since katrina, with over 230 fatalities, hurricane helene exposed significant vulnerabilities in hazard warning reception and response within mountain and inland communities in the u.s. southeast. risk perception, warning reception, and response in these communities have been largely understudied, leaving critical gaps in understanding how these populations perceive and react to hurricane-related threats, as most research has focused on coastal areas. this work contributes to reducing losses by improving the understanding of hurricane-related risks within mountain and inland communities, leading to improved and more equitable weather warning and response systems. the findings have the potential to benefit mountain and inland communities, national weather service forecasters, emergency management professionals, and especially under-resourced communities. utilizing decision sciences that integrate social and behavioral sciences with weather hazard practices and policies, this project collects time-sensitive information to identify how households and weather stakeholders (forecasters, emergency managers) in mountain and inland communities received, perceived, and responded to risk information related to hurricane helene. the project then integrates social and behavioral science data with physical and built-environment characteristics using geographic information systems and multivariate modeling to explore how these contextual characteristics and factors may influence warning reception and protective decision making. the research advances fundamental knowledge in: (1) understanding the decision-making context among mountain and inland community households and weather hazard decision makers impacted by hurricane helene; and (2) identifying physical, social, and environmental factors that prevent or support hazard warning reception and protective decisions in mountain and inland communities."
Collaborative Research: RAPID: Elections During Crises: The Effects of Hurricane Helene on Election Administration and Perceptions of Integrity in North Carolina,"hurricane helene, striking the southern united states in late september 2024, caused catastrophic damage to western north carolina. the damage to infrastructure (electricity, water, cell service, roads), displacement of residents, and the prioritization of basic needs for relief efforts may directly affect citizen participation in the voting process. ensuring voter access, security, and an efficient process requires a robust response by government officials and non-governmental organizations. failures to provide these services?or the belief that essential services are lacking?could undermine perceptions that the election results are fair and valid. consequently, developing an understanding of the administrative responses to a disaster, as well as public perceptions during an election period, is critical. because north carolina is a key battleground state in the u.s. presidential election, the impact of the storm raises critical research questions: (1) how will the disaster affect the state's capacity to implement elections and (2) how will the state's responses influence public perceptions of election integrity? these questions are important as the state's ability to quickly address logistical challenges could impact voter turnout and confidence in the election outcome. to analyze helene's impact on election administration, this research project will collect and analyze four kinds of data: post-election survey data from residents of the state; exit poll data from voters at early voting sites and election day polling places; interviews with state and local election officials; and administrative data on the location of polling places, changes due to the disaster, and official election results. by analyzing these data, the research will evaluate how logistical challenges influence administrative responses, voter behavior, and perceptions of integrity. the project will contribute to the development of knowledge in several areas of social science research. it will enhance the understanding of voter behavior, election administration, disaster management, and the implications of crises on policy implementation."
SBP: Collaborative Research: Journeys in World Politics A Mentoring Workshop for Junior Women in International Relations,"this project aims to serve the national need of mitigating the underrepresentation of women in science, and therefore contributes to scientific progress. peer mentorship is one of the most effective avenues to increase the status of women in academia. by providing intense peer-mentorship to junior women scholars of international relations, the project will promote high-quality scholarship and contribute to an increased success of mentored women in academia. the project will promote these goals through the hosting of intense peer-mentorship workshops to foster networks, provide feedback and support, disseminate information, and encourage psychological resilience. the project also tracks the success of peer-mentorship programs through survey research and a collection of data on academic success. studies that have evaluated the status of women in international relations over the past 30 years reveal significant gender gaps on numerous dimensions. the continued under-representation of female scholars at top research institutions and high ranks harms scientific progress. recent research demonstrates that active mentoring, especially through workshops that foster networks, provide feedback and support, disseminate information, and encourage psychological resilience, are among the most promising avenues for change. the journeys in world politics workshop program has mentored young women scholars of international relations (ir) since 2004. the project hosts annual three-day workshops that support 18-20 participants and includes research presentations by junior scholars, feedback from discussants, oral autobiographies by senior scholars, and career and gender discussion sessions involving topics such as networking, work-life balance, and navigating classroom gender dynamics. beyond the workshops, the project maintains an active website and other forms of communication, arranges meetings at conferences, and thereby builds a broad network of women in the entire political science discipline. to track the success of mentorship workshops, the project collects more systematic data to evaluate the mechanisms through which mentoring programs increase long-term success rates for female political scientists."
Collaborative Research: Marriage Market Effects of Strengthening Female Inheritance Rights,"this award funds a research project that tests an economic theory about the unintended consequences of public policy. policies that aim to increase female economic empowerment can improve their economic inclusion, bargaining power in the home, and psychological well-being. however, these policies can have unintended consequences, with parents reallocating resources away from daughters? education, dowry, and lower quality marital spouses. this research project will study the effect of a new system of land records that digitizes and centralizes records on female land inheritance, human capital, and marriage outcomes. the researchers will study the overall welfare effects of strengthening women?s? inheritance and other investments, including education. this research contributes to knowledge by considering the full extent of household decision-making by linking inheritance decisions as closely tied to the other human capital investments. the results of this research will provide inputs into policies to improve women?s inheritance rights around the world. the results will also provide guidance on how to craft more efficient policies that will minimize their unintended consequences. this award funds a research project that studies the unintended consequences of policy reforms. the project exploits the staggered implementation of digitizing land records as well as the timing of household head deaths among agricultural landowning landlords to answer three questions: (i) whether the intervention works as it was intended, (ii) what are the direct impacts of the reform on education and marriage outcomes for women who receive inherited land, and (iii) what are the effects of the reform on resource allocation within landowning households who have not directly experienced an inheritance but may respond to the reform in anticipation of future inheritances. data collection is through a phone survey. the research results will help policy makers craft better land reform policies that reduces the unintended consequences of the reform; the lessons can also be applied to other policies. the results of this research will also help establish the us a global leader in women?s rights."
